model_name,accuracy,precision,recall,f1_score,true_positives,true_negatives,false_positives,false_negatives
VGG16_EdgeAnalysis,0.52,0.5102040816326531,1.0,0.6756756756756757,100,4,96,0
DenseNet121_Custom,0.515,0.5076142131979695,1.0,0.6734006734006734,100,3,97,0
MobileNetV3_Texture,0.515,0.5076142131979695,1.0,0.6734006734006734,100,3,97,0
CLIP_Visual,0.51,0.5051546391752577,0.98,0.6666666666666666,98,4,96,2
Custom_Trained,0.51,0.5051020408163265,0.99,0.668918918918919,99,3,97,1
EfficientNet_v2B0,0.505,0.5025380710659898,0.99,0.6666666666666666,99,2,98,1
InceptionV3_Frequency,0.505,0.5025641025641026,0.98,0.6644067796610169,98,3,97,2
Vision_Transformer,0.505,0.5025380710659898,0.99,0.6666666666666666,99,2,98,1
LightCNN_Forensics,0.505,0.5025380710659898,0.99,0.6666666666666666,99,2,98,1
Ensemble,0.505,0.5025380710659898,0.99,0.6666666666666666,99,2,98,1
DINO_SelfSupervised,0.5,0.5,0.99,0.6644295302013423,99,1,99,1
ResNet50_FT,0.495,0.49743589743589745,0.97,0.6576271186440678,97,2,98,3
Xception_Noise,0.49,0.494949494949495,0.98,0.6577181208053692,98,0,100,2
